date,NO2
2024-07-19,5.1435665e-05
2024-07-20,4.463074e-05
2024-07-21,5.004751e-05
2024-07-22,5.1265644e-05
2024-07-23,6.413008e-05
2024-07-24,6.643728e-05
2024-07-25,5.407098e-05
2024-07-26,4.5469544e-05
2024-07-27,4.3272223e-05
2024-07-28,5.387767e-05
2024-07-29,4.984724e-05
2024-07-30,5.184262e-05
2024-07-31,3.599262e-05
2024-08-01,3.4599714e-05
2024-08-02,4.430325e-05
2024-08-03,4.0966082e-05
2024-08-04,5.0474246e-05
2024-08-05,5.5993103e-05
2024-08-06,5.269468e-05
2024-08-07,6.210523e-05
2024-08-08,5.3703105e-05
2024-08-09,4.821835e-05
2024-08-10,5.0440598e-05
2024-08-11,4.5933673e-05
2024-08-12,4.7192803e-05
2024-08-13,4.8451933e-05
2024-08-14,5.3787437e-05
2024-08-15,6.634806e-05
2024-08-16,4.9366565e-05
2024-08-17,4.7592934e-05
2024-08-18,4.96726e-05
2024-08-19,4.7498856e-05
2024-08-20,5.6891025e-05
2024-08-21,4.707941e-05
2024-08-22,3.9605606e-05
2024-08-23,3.2131797e-05
2024-08-24,6.4511805e-05
2024-08-25,4.3625114e-05
2024-08-26,6.037816e-05
2024-08-27,9.239044e-05
2024-08-28,8.240519e-05
2024-08-29,7.241995e-05
2024-08-30,6.161426e-05
2024-08-31,7.107969e-05
2024-09-01,4.774898e-05
2024-09-02,4.251326e-05
2024-09-03,3.8931656e-05
2024-09-04,2.5502957e-05
2024-09-05,5.0680334e-05
2024-09-06,4.0324845e-05
2024-09-07,4.0225215e-05
2024-09-08,4.36389e-05
2024-09-09,5.1920186e-05
2024-09-10,5.6981648e-05
2024-09-11,6.387584e-05
2024-09-12,5.3289983e-05
2024-09-13,5.5914046e-05
2024-09-14,5.754653e-05
2024-09-15,5.279686e-05
2024-09-16,4.947977e-05
2024-09-17,6.182778e-05
2024-09-18,6.152597e-05
2024-09-19,6.122415e-05
2024-09-20,4.2451447e-05
2024-09-21,4.6042413e-05
2024-09-22,4.0432515e-05
2024-09-23,4.999018e-05
2024-09-24,5.8340436e-05
2024-09-25,6.2477986e-05
2024-09-26,6.661554e-05
2024-09-27,7.2019764e-05
2024-09-28,4.235255e-05
2024-09-29,3.812945e-05
2024-09-30,3.33486e-05
2024-10-01,2.816004e-05
2024-10-02,4.510364e-05
2024-10-03,4.4018278e-05
2024-10-04,4.305731e-05
2024-10-05,4.0602645e-05
2024-10-06,2.9927744e-05
2024-10-07,3.9791008e-05
2024-10-08,4.2928867e-05
2024-10-09,3.4705994e-05
2024-10-10,3.0024963e-05
2024-10-11,2.1894855e-05
2024-10-12,2.630816e-05
2024-10-13,4.5609853e-05
2024-10-14,6.4285654e-05
2024-10-15,6.4791086e-05
2024-10-16,6.52965e-05
2024-10-17,6.4506756e-05
2024-10-18,5.754749e-05
2024-10-19,5.077848e-05
2024-10-20,4.276955e-05
2024-10-21,4.8741953e-05
2024-10-22,5.4714357e-05
2024-10-23,5.7995785e-05
2024-10-24,6.775628e-05
2024-10-25,6.840467e-05
2024-10-26,6.92022e-05
2024-10-27,6.156194e-05
2024-10-28,7.369538e-05
2024-10-29,5.498432e-05
2024-10-30,3.467285e-05
2024-10-31,4.4985863e-05
2024-11-01,4.37173e-05
2024-11-02,4.2448744e-05
2024-11-03,4.118018e-05
2024-11-04,4.4838776e-05
2024-11-05,4.849737e-05
2024-11-06,3.6655256e-05
2024-11-07,6.674968e-05
2024-11-08,4.480717e-05
2024-11-09,5.4814365e-05
2024-11-10,5.1379182e-05
2024-11-11,4.7944013e-05
2024-11-12,4.5255594e-05
2024-11-13,4.1247167e-05
2024-11-14,4.379538e-05
2024-11-15,3.820775e-05
2024-11-16,3.949662e-05
2024-11-17,4.0785493e-05
2024-11-18,4.171612e-05
2024-11-19,4.237082e-05
2024-11-20,4.770214e-05
2024-11-21,4.9283164e-05
2024-11-22,4.9617636e-05
2024-11-23,4.995211e-05
2024-11-24,4.942299e-05
2024-11-25,4.889387e-05
2024-11-26,4.8364753e-05
2024-11-27,4.7835627e-05
2024-11-28,4.7306512e-05
2024-11-29,4.6777393e-05
2024-11-30,4.6248275e-05
2024-12-01,4.5393466e-05
2024-12-02,4.4538658e-05
2024-12-03,4.3683845e-05
2024-12-04,4.1631476e-05
2024-12-05,3.95791e-05
2024-12-06,3.8503244e-05
2024-12-07,3.7427388e-05
2024-12-08,3.635153e-05
2024-12-09,3.5275672e-05
2024-12-10,3.4199813e-05
2024-12-11,3.312396e-05
2024-12-12,3.1951553e-05
2024-12-13,3.0779145e-05
2024-12-14,2.9606748e-05
2024-12-15,2.8434342e-05
2024-12-16,2.726194e-05
2024-12-17,2.6089536e-05
2024-12-18,2.4917133e-05
2024-12-19,2.6986707e-05
2024-12-20,3.3441516e-05
2024-12-21,3.989633e-05
2024-12-22,3.8719667e-05
2024-12-23,3.754301e-05
2024-12-24,3.6366346e-05
2024-12-25,3.5189678e-05
2024-12-26,3.401302e-05
2024-12-27,3.2842236e-05
2024-12-28,3.1671458e-05
2024-12-29,3.0500672e-05
2024-12-30,3.29269e-05
2024-12-31,3.3865916e-05
2025-01-01,3.3997447e-05
2025-01-02,3.412898e-05
2025-01-03,3.426051e-05
2025-01-04,4.0508512e-05
2025-01-05,4.6756508e-05
2025-01-06,5.300451e-05
2025-01-07,5.0903618e-05
2025-01-08,4.8817063e-05
2025-01-09,4.67305e-05
2025-01-10,4.521748e-05
2025-01-11,4.3704455e-05
2025-01-12,4.2414184e-05
2025-01-13,4.1123913e-05
2025-01-14,3.9833638e-05
2025-01-15,3.8543367e-05
2025-01-16,3.7253096e-05
2025-01-17,3.5962825e-05
2025-01-18,3.6032652e-05
2025-01-19,3.9570365e-05
2025-01-20,3.5816305e-05
2025-01-21,3.206225e-05
2025-01-22,3.1902215e-05
2025-01-23,3.1742184e-05
2025-01-24,3.1582153e-05
2025-01-25,3.142212e-05
2025-01-26,3.0881813e-05
2025-01-27,3.0341504e-05
2025-01-28,2.980119e-05
2025-01-29,2.9260878e-05
2025-01-30,2.9108230333333332e-05
2025-01-31,2.8955582666666668e-05
2025-02-01,2.8802935e-05
2025-02-02,2.8344992e-05
2025-02-03,2.7887048e-05
2025-02-04,2.7429107e-05
2025-02-05,2.6436248e-05
2025-02-06,2.5566198e-05
2025-02-07,2.6754135e-05
2025-02-08,2.6900343e-05
2025-02-09,2.7011187e-05
2025-02-10,2.712203e-05
2025-02-11,2.723287e-05
2025-02-12,2.871976e-05
2025-02-13,2.9610374e-05
2025-02-14,3.0502672e-05
2025-02-15,3.1394968e-05
2025-02-16,2.3101575e-05
2025-02-17,2.5342515e-05
2025-02-18,2.7583455e-05
2025-02-19,2.9527748e-05
2025-02-20,3.0259534e-05
2025-02-21,3.0991316e-05
2025-02-22,3.17231e-05
2025-02-23,3.245488e-05
2025-02-24,3.318666e-05
2025-02-25,3.391844e-05
2025-02-26,3.5453264e-05
2025-02-27,3.6988087e-05
2025-02-28,3.66744e-05
2025-03-01,3.6295743e-05
2025-03-02,3.8647562e-05
2025-03-03,4.0695173e-05
2025-03-04,3.8266648e-05
2025-03-05,3.0061563e-05
2025-03-06,3.7191523e-05
2025-03-07,3.6530262e-05
2025-03-08,3.5869005e-05
2025-03-09,3.5207748e-05
2025-03-10,3.3878867e-05
2025-03-11,3.254999e-05
2025-03-12,3.2206288e-05
2025-03-13,3.1156655e-05
2025-03-14,3.0107025e-05
2025-03-15,2.9057395e-05
2025-03-16,2.8007766e-05
2025-03-17,2.6958136e-05
2025-03-18,2.59085e-05
2025-03-19,2.5022182e-05
2025-03-20,2.4135856e-05
2025-03-21,2.3249535e-05
2025-03-22,2.2665025e-05
2025-03-23,2.2089449e-05
2025-03-24,2.4484792e-05
2025-03-25,2.6880138e-05
2025-03-26,2.2964057e-05
2025-03-27,2.8338822e-05
2025-03-28,2.7423752e-05
2025-03-29,2.6725365e-05
2025-03-30,2.6026984e-05
2025-03-31,2.5328598e-05
2025-04-01,2.4760242e-05
2025-04-02,2.524152e-05
2025-04-03,2.58195e-05
2025-04-04,2.7085722e-05
2025-04-05,2.835194e-05
2025-04-06,2.9297302e-05
2025-04-07,2.9707302e-05
2025-04-08,3.0217438e-05
2025-04-09,3.2693308e-05
2025-04-10,3.2653035e-05
2025-04-11,3.2612756e-05
2025-04-12,3.15802e-05
2025-04-13,3.4419096e-05
2025-04-14,3.6133704e-05
2025-04-15,3.7848316e-05
2025-04-16,3.9562925e-05
2025-04-17,3.9346545e-05
2025-04-18,4.5175144e-05
2025-04-19,5.1003743e-05
2025-04-20,4.928429e-05
2025-04-21,4.7564838e-05
2025-04-22,4.5845394e-05
2025-04-23,4.4883513e-05
2025-04-24,4.619583e-05
2025-04-25,4.594023e-05
2025-04-26,4.5684625e-05
2025-04-27,4.5429024e-05
2025-04-28,5.0297385e-05
2025-04-29,5.1176834e-05
2025-04-30,4.743365e-05
2025-05-01,4.1093157e-05
2025-05-02,4.054774e-05
2025-05-03,3.840045e-05
2025-05-04,3.5461464e-05
2025-05-05,3.8687947e-05
2025-05-06,3.8897655e-05
2025-05-07,3.9107366e-05
2025-05-08,3.975521e-05
2025-05-09,4.0403065e-05
2025-05-10,4.105091e-05
2025-05-11,4.051914e-05
2025-05-12,4.02771e-05
2025-05-13,4.0035062e-05
2025-05-14,4.0767824e-05
2025-05-15,4.1997675e-05
2025-05-16,4.322753e-05
2025-05-17,4.244449e-05
2025-05-18,3.4272907e-05
2025-05-19,3.6960755e-05
2025-05-20,3.7245874e-05
2025-05-21,3.753099e-05
2025-05-22,3.720234e-05
2025-05-23,3.6465666e-05
2025-05-24,3.5728994e-05
2025-05-25,3.3747285e-05
2025-05-26,3.7472386e-05
2025-05-27,4.119749e-05
2025-05-28,4.492259e-05
2025-05-29,4.6397785e-05
2025-05-30,5.127825e-05
2025-05-31,5.7120036e-05
2025-06-01,6.296184e-05
2025-06-02,6.880364e-05
2025-06-03,4.2215437e-05
2025-06-04,4.2572294e-05
2025-06-05,4.0160823e-05
2025-06-06,3.9484592e-05
2025-06-07,3.9108687e-05
2025-06-08,3.8732793e-05
2025-06-09,3.835689e-05
2025-06-10,3.7980994e-05
2025-06-11,3.791753e-05
2025-06-12,3.5864156e-05
2025-06-13,4.624236e-05
2025-06-14,3.6469697e-05
2025-06-15,2.8722194e-05
2025-06-16,3.3953424e-05
2025-06-17,3.8802962e-05
2025-06-18,4.3652497e-05
2025-06-19,4.2881038e-05
2025-06-20,4.1123792e-05
2025-06-21,3.9366543e-05
2025-06-22,3.8760016e-05
2025-06-23,3.867837e-05
2025-06-24,3.477676e-05
2025-06-25,3.167542e-05
2025-06-26,2.7819591e-05
2025-06-27,2.2980274e-05
2025-06-28,3.0055204e-05
2025-06-29,3.4595512e-05
2025-06-30,4.2427142e-05
2025-07-01,3.888518e-05
2025-07-02,4.262511e-05
2025-07-03,4.47445e-05
2025-07-04,4.6863897e-05
2025-07-05,4.4389493e-05
2025-07-06,3.981962e-05
2025-07-07,3.524975e-05
2025-07-08,4.558267e-05
2025-07-09,5.3276257e-05
2025-07-10,4.9627724e-05
2025-07-11,3.7435973e-05
2025-07-12,2.8504028e-05
2025-07-13,1.9572086e-05
2025-07-14,3.768594e-05
2025-07-15,4.484406e-05
2025-07-16,4.429714e-05
2025-07-17,5.4425927e-05
2025-07-18,4.8366335e-05
2025-07-19,5.2774147e-05
2025-07-20,4.8375463e-05
2025-07-21,4.8439735e-05
2025-07-22,4.209213e-05
2025-07-23,5.09137e-05
2025-07-24,5.3204545e-05
2025-07-25,4.9689836e-05
2025-07-26,4.5953147e-05
2025-07-27,4.311055e-05
2025-07-28,4.388096e-05
2025-07-29,4.0642713e-05
2025-07-30,3.740447e-05
2025-07-31,3.494082e-05
2025-08-01,2.5989953e-05
2025-08-02,3.0656032e-05
2025-08-03,3.249727e-05
2025-08-04,4.612704e-05
2025-08-05,4.584571e-05
2025-08-06,5.261746e-05
2025-08-07,5.1187075e-05
2025-08-08,4.8211543e-05
2025-08-09,4.630985e-05
2025-08-10,4.7307094e-05
2025-08-11,4.7013724e-05
2025-08-12,4.9096903e-05
2025-08-13,4.58056e-05
2025-08-14,4.6612397e-05
2025-08-15,4.74192e-05
2025-08-16,4.4172008e-05
2025-08-17,2.9704654e-05
2025-08-18,2.9822966e-05
2025-08-19,3.1804462e-05
2025-08-20,3.611743e-05
2025-08-21,4.043041e-05
2025-08-22,4.280302e-05
2025-08-23,4.1023588e-05
2025-08-24,5.0725404e-05
2025-08-25,5.6463155e-05
2025-08-26,7.92896e-05
2025-08-27,6.780428e-05
2025-08-28,5.8687183e-05
2025-08-29,4.9570088e-05
2025-08-30,4.2152107e-05
2025-08-31,2.3984561e-05
2025-09-01,2.979767e-05
2025-09-02,2.0249978e-05
2025-09-03,2.8001212e-05
2025-09-04,2.873004e-05
2025-09-05,4.0873867e-05
2025-09-06,4.7193662e-05
2025-09-07,5.6278044e-05
2025-09-08,4.98234e-05
2025-09-09,4.3251377e-05
2025-09-10,3.6679354e-05
2025-09-11,3.0388108e-05
2025-09-12,4.6063094e-05
2025-09-13,4.9193095e-05
2025-09-14,4.5258526e-05
2025-09-15,5.2106017e-05
2025-09-16,5.2745643e-05
2025-09-17,5.134934e-05
2025-09-18,3.859239e-05
2025-09-19,2.9722516e-05
2025-09-20,3.811149e-05
2025-09-21,4.1589545e-05
2025-09-22,4.30369e-05
2025-09-23,7.360995e-05
2025-09-24,6.822421e-05
2025-09-25,3.6719644e-05
2025-09-26,3.903559e-05
2025-09-27,3.842738e-05
2025-09-28,2.0176896e-05
2025-09-29,3.6358502e-05
2025-09-30,3.6787642e-05
